roof br misoriented + U,M' U' Rw' U Rw U Rw' U R,"R' U2 R Rw' U R U' R' U' Rw,R' F R' F' R U2 R U R' U' R"
roof bl oriented,L U L' U2 L U' L' U L U' L',L U2 L' U L U L' U L U' L'
roof bl oriented + U',U L U L' U' L U2 L' U L U L',"L U2 L' U' L U2 L' U L U L',U' L U L' U2 L U' L' U L U' L'"
roof bl oriented + U2,L U L' U' L U2 L' U L U L',M U L U' Lw' U2 L U' L'
roof bl oriented + U,U' L U L' U' L U2 L' U L U L',""
roof bl misoriented,L2 F' L' F L' U2 L U' L',""
roof bl misoriented + U',M U L U' Lw' U' L U L',L U2 L' Lw U' Lw' U2 Lw U Lw'
roof bl misoriented + U2,U M' U Lw U' Lw' U' Lw U' L',L U L' Lw U' Lw' U2 Lw U Lw'
roof bl misoriented + U,M' U Lw U' Lw' U' Lw U' L',"L U2 L' Lw U' L' U L U Lw',L F' L F L' U2 L' U' L U L'"
checkerboard fr oriented,R U' R' U R U' R' U2 R U' R',""
checkerboard fr oriented + U',U R U' R' U R U' R' U2 R U' R',""
checkerboard fr oriented + U2,U2 R U' R' U R U' R' U2 R U' R',R U2 R' U' R U R' U' R U R'
checkerboard fr oriented + U,R U' R' U' R U R' U' R U R',""
checkerboard fr misoriented,U' R U2 R' Dw R' U' R,"R U' R' U R U' R2 F R F' R U' R',F R' F' R U' R U' R' U R U' R',R U R' U M' U R U' Rw' U R U' R'"
checkerboard fr misoriented + U',R U2 R' Dw R' U' R,"R U2 R2 F R U R U' R2 F' R,R U B' R B R' U R'"
checkerboard fr misoriented + U2,U R U2 R' Dw R' U' R,""
checkerboard fr misoriented + U,U2 R U2 R' Dw R' U' R,""
checkerboard fl oriented,L' U L U' L' U L U2 L' U L,""
checkerboard fl oriented + U',U' L' U L U' L' U L U2 L' U L,""
checkerboard fl oriented + U2,L' U2 L U L' U' L U L' U' L,U2 L' U L U' L' U L U2 L' U L
checkerboard fl oriented + U,L' U L U L' U' L U L' U' L,""
checkerboard fl misoriented,U L' U2 L Dw' L U L',"L' U L U' L' U L2 F' L' F L' U L,F' L F L' U L' U L U' L' U L,L' U' L U' M' U' L' U Lw U' L' U L"
checkerboard fl misoriented + U',L' U2 L Dw' L U L',"L' U2 L2 F' L' U' L' U L2 F L',L' U' B L' B' L U' L"
checkerboard fl misoriented + U2,U' L' U2 L Dw' L U L',""
checkerboard fl misoriented + U,U2 L' U2 L Dw' L U L',""
checkerboard br oriented,R U2 R2 U' R R U' R',R' U R U' R' U R U2 R' U R
checkerboard br oriented + U',U R U2 R2 U' R R U' R',R' U R U R' U' R U R' U' R
checkerboard br oriented + U2,U2 R U2 R2 U' R R U' R',"R' U2 R U R' U' R U R' U' R,M U' R' U M' U R U' R' U' R"
checkerboard br oriented + U,U' R U2 R2 U' R R U' R',""
checkerboard br misoriented,U R' U' F R' F' R U' R,"R2 F R F' R U' R' U2 R U R' U' R,R' U R U' R' U R U' R' U R' F R F' R"
checkerboard br misoriented + U',U2 R' U' F R' F' R U' R,""
checkerboard br misoriented + U2,U' R' U' F R' F' R U' R,R' U' R' F R F' U R U2 R' U R
checkerboard br misoriented + U,R' U' F R' F' R U' R,""
checkerboard bl oriented,L' U2 L2 U L' L' U L,L U' L' U L U' L' U2 L U' L'
checkerboard bl oriented + U',U' L' U2 L2 U L' L' U L,L U' L' U' L U L' U' L U L'
checkerboard bl oriented + U2,U2 L' U2 L2 U L' L' U L,"L U2 L' U' L U L' U' L U L',M U L U' M' U' L' U L U L'"
checkerboard bl oriented + U,U L' U2 L2 U L' L' U L,""
checkerboard bl misoriented,U' L U F' L F L' U L',"L2 F' L' F L' U L U2 L' U' L U L',L U' L' U L U' L' U L U' L F' L' F L',L U2 L' U' Lw U' Lw' U2 Lw U Lw'"
checkerboard bl misoriented + U',Dw' R U2 R2 U' R R U' R',U2 L U F' L F L' U L'
checkerboard bl misoriented + U2,U L U F' L F L' U L',L U L F' L' F U' L' U2 L U' L'
checkerboard bl misoriented + U,L U F' L F L' U L',""
triple sexy fr,U R U' R' U R U' R' U R U' R',""
triple sexy fr + U',U' R U' R' U R U R' U R U' R',""
triple sexy fr + U2,R U' R' U R U R' U R U' R',R U Rw' U Rw U' Rw' U' M'
triple sexy fr + U,R U' R' U R U' R' U R U' R',""
triple sexy fl,U' L' U L U' L' U L U' L' U L,""
triple sexy fl + U',U L' U L U' L' U' L U' L' U L,""
triple sexy fl + U2,L' U L U' L' U' L U' L' U L,L' U' Lw U' Lw' U Lw U M'
triple sexy fl + U,L' U L U' L' U L U' L' U L,""
triple sexy br,U' R' U R U' R' U R U' R' U R,""
triple sexy br + U',R' U R U' R' U R U' R' U R,""
triple sexy br + U2,R' U R U' R' U' R U' R' U R,""
triple sexy br + U,R' U R U' R' U2 R U R' U' R,U R' U R U' R' U' R U' R' U R
triple sexy bl,U L U' L' U L U' L' U L U' L',""
triple sexy bl + U',L U' L' U L U' L' U L U' L',""
triple sexy bl + U2,L U' L' U L U L' U L U' L',""
triple sexy bl + U,L U' L' U L U2 L' U' L U L',U' L U' L' U L U L' U L U' L'
weird watcher fr corner in front,U M' U R U' Rw' R U' R',""
weird watcher fr corner in front + U',R U R' Dw R' U' R,""
weird watcher fr corner in front + U2,U' M' U R U' Rw' R U' R',"R U R' F R' F' R,R U R' Dw' L' U L"
weird watcher fr corner in front + U,M' U R U' Rw' R U' R',"R' F R F' R U R' U R U R',M U Rw U' Rw' U' M' U R U' R'"
weird watcher fr corner on side,U F' U' F U' R U R',""
weird watcher fr corner on side + U',U' F' U' F U R U' R',""
weird watcher fr corner on side + U2,F' U' F U R U' R',"U' F' U' F U' R U R',R U R2 F R F' R U' R' U R U' R'"
weird watcher fr corner on side + U,F' U' F U' R U R',"R' F R F' U' R U R' U R U' R',L F' L' U' Rw U Rw' U' R U R'"
weird watcher fl corner in front,U' M' U' L' U Lw L' U L,U U L' U' L Dw R U' R'
weird watcher fl corner in front + U',U L' U' L Dw R U' R',L' U' L Dw' L U L'
weird watcher fl corner in front + U2,L' U' L Dw R U' R',"L' U' L F' L F L',L' U' L U Lw' U Lw U' Lw' U' Lw"
