,Ubl,Urb,Ufr,Ulf,Lub,Lfu,Ldf,Lbd,Ful,Fru,Fdr,Fld,Ruf,Rbu,Rdb,Rfd,Bur,Blu,Bdl,Brd,Dfl,Drf,Dbr,Dlb
Ubl,,,,,,,,,,,,,,,,,,,,,,,,
Urb,"[x Rw': [U, r' d2 r]]",,,,,,,,,,,,,,,,,,,,,,,
Ufr,,,,,,,,,,,,,,,,,,,,,,,,
Ulf,"[x' Lw': [l' d2 l, U]]","[x' Rw: [U', r d2 r']]",,,,,,,,,,,,,,,,,,,,,,
Lub,"[r u r', U2]","[r u r', U]",,"[r u r', U']",,,,,,,,,,,,,,,,,,,,
Lfu,"[U': [r' u' r, U2]]","[U', r' u' r]",,"[U, l' u l]","[z: [r d r', U']]",,,,,,,,,,,,,,,,,,,
Ldf,"[r' d r, U2]","[r' d r, U]",,"[r' d r, U']","[z: [r d r', U2]]","[z: [U, l d' l']]",,,,,,,,,,,,,,,,,,
Lbd,"[U': [r d' r', U2]]","[U', r d' r']",,"[U, l d l']","[z: [r d r', U]]","[z U': [r d r', U2]]","[z: [l d' l', U']]",,,,,,,,,,,,,,,,,
Ful,"[r u2 r', U2]","[r u2 r', U]",,"[r u2 r', U']","[u', l' U2 l]","[L': [u', l' U2 l]]","[l': [l' d' l, U2]]","[x Rw': [r' d r, U2]]",,,,,,,,,,,,,,,,
Fru,"[y: [U2, r' u' r]]","[y': [r' u r, U]]",,"[U, l' u2 l]","[U': [r, Uw' l' Uw]]","[U: [u', r U2 r']]","[U'Dw': [r, U' l U]]","[U r: [r d' r', U2]]","[U': [r, U' l' U]]",,,,,,,,,,,,,,,
