,D,B,A,C,M,N,P,O,E,F,H,G,I,K,L,J,Q,S,T,R,U,V,X,W
U,"[U2, M']","[M U2 M, U]",,"[R' F': [R S R', F2]]","[L' F': [L2, E']]","[L2 F': [L2, E']]","[L F': [L2, E']]","[l' U: [S', L2]]",,[R': (f2 R2 U' R2')*2],flip,"[L: (f2 L2' U L2)*2]","[R F: [R2, E]]","[r U': [S, R2]]","[R' F: [R2, E]]","[R2 F: [R2, E]]","[U: [S, R' F' R]]","[U' L U': [M', U2]]","[D': [R F R', S']] ","[U R' U: [M', U2]]",,,,
V,"[U': [S, R2]]","[R' U R': [S, R2]]",,"U R U R' U' R' U' R' U R","[L: [F', L S L']]","[R' F: [R' S R, F]]","[L' F' L, S]","[u' R': [E, R2]]",,U R' U' R' U R U R U R' U2',"[U' R2' U, M']","[U' R': [E, R2]]","[R' F R, S']","[u' R: [E', R2]]",flip,"[U' E' R: [R2, E]]","[R': [U' R' U, M]]","[U' R: [E', R2]]","[R' FB: [R S R', B']]",U R U R U' R' U' R' U' R,"[R' F: [R S' R', F2]]",,,
X,"[M, U2]","[rM': [U' R' U, M2]]",,"[l'M': [U L U', M2]]","[L'M: [U' L U, M2]]","[M: [U' L' U, M2]]","[U: [S', L B' L']]","[M: [U' L U, M2]]",,"[M2, U' R U]","[D: [R F R', S']]","[M2, U L' U']","[RM: [U R' U', M2]]","[M: [U R' U', M2]]","[U': [S, R' B R]]","[M: [U R U', M2]]","[U: [S, R B R']]","[M2, U L U']",flip,"[M2, U' R' U]","[D2', M]","[rM': [U' R U, M2]]",,
W,"[U: [S', L2]]","U' L' U' L U L U L U' L'",,"[S' R' F R': [S', R2]]","[L F' L', S]","[UE L: [E', L2]]",flip,"[u L': [E, L2]]",,"[U L: [E', L2]]","[U L2 U', M']",U' L U L U' L' U' L' U' L U2,"[R': [F, R' S' R]]","[u L: [E', L2]]","[R F R', S']","[UE L': [E, L2]]","[U L2 U', M]",U' L' U' L' U L U L U L',"[U' D': [S, R' B R]]","[U L': [E, L2]]","[R' F: [R' S' R, F2]]","[D: [M, D2]]",DU' R D R' D' R' D' R' D R U,
,,,,,,,,,,,,,,,,,,,,,,,,
,Flip Algs,,,,,,,,,,,,,,,,,,,,,,,
D / Q,M' U2 M U R' F' R S R' F R S' U,,,,,,,,,,,,,,,,,,,,,,,
B / I,R' E2 R2 E' R' U' R E R2' E2 R U,,,,,,,,,,,,,,,,,,,,,,,
C / M,L F' L' U M' U2 M U S' L F L' S,,,,,,,,,,,,,,,,,,,,,,,
N / G,F' L' U M' U2 M U S' L F L' S L,,,,,,,,,,,,,,,,,,,,,,,
P / W,S L F' L' U M' U2 M U S' L F L',,,,,,,,,,,,,,,,,,,,,,,
O / S,L' S L F' L' U M' U2 M U S' L F,,,,,,,,,,,,,,,,,,,,,,,
F / J,F R U' M' U2 M U' S R' F' R S' R',,,,,,,,,,,,,,,,,,,,,,,
H / U,U2 M' U2 M U' S R' F' R S' R' F R U,,,,,,,,,,,,,,,,,,,,,,,
K / R,R S' R' F R U' M' U2 M U' S R' F',,,,,,,,,,,,,,,,,,,,,,,
L / V,S' R' F R U' M' U2 M U' S R' F' R ,,,,,,,,,,,,,,,,,,,,,,,
T / X,U2 M U' S R' F' R S' R' F R U' M',,,,,,,,,,,,,,,,,,,,,,,
